L34 NNE,12000
1 KVV,12000
HA11 NAH,9500
10 JRW,9500
7 YNE,9500
101 GE,5500
W42 DYS,5000
110 GA,4500
WES 17,4400
WES 53X,4000
888 PU,3900
1974 SK,3500
JUD 77H,3500
12 PEG,3500
89 TWJ,3500
KLA 12A,3000
MAC 142N,2900
HOY 113S,2500
B32 RYS,2500
BOY 13E,2500
KEV 53S,2500
TOL 13T,2500
33 FJD,2500
CRG 1W,2500
BEK 55Y,2250
YOU 117G,2000
GAZ 125,2000
DEZ 64,2000
HIL 997,1800
RRV 314R,1500
E64 RRY,1500
IIL 997,1500
JIL 992,1500
JIL 993,1500
MOP 33D,1500
WIL 335,1500
WIW 991,1500
HWR 1E,1500
JIL 488,1200
KAZ 994,1200
LIL 448,1200
