11 ARN,7750
70 BL,6950
40 RY,6750
50 GY,6450
88 YS,6450
200 FA,5850
500 FT,5850
43 TVR,5850
700 KEV,5750
540 DMH,4750
RKD 50,4750
RTW 200,4750
60 ADR,4250
50 DCN,4250
JP 9491,4250
RCG 93,4250
73 LRF,3950
CK 6171,3850
ENS 20,3850
JF 5993,3850
JLF 56,3750
MDH 740,3750
GTK 50,3650
6 XPM,3650
ASM 603,3450
BDJ 62,3450
BDJ 64,3450
969 CMG,3450
EJB 969,3450
896 JSB,3450
89 MTG,3450
500 CBM,3250
CSH 626,3250
580 DGM,3250
KJG 827,3250
LAN 863,3250
NS 5116,3250
RRS 803,3250
SPR 385,3250
GBK 500,2950
MRR 683,2850
NJT 659,2850
TN 3310,2850
447 UB,2850
714 UM,2850
877 DRR,2750
785 MMC,2750
RAH 2H,2750
ARB 2A,2650
FRY 994,2650
PBW 917,2650
RRH 422,2650
BRD 2D,2450
6996 CD,2450
CSS 814,2450
8375 E,2450
101 ERS,2450
GBA 900,2450
GCL 316,2450
GMH 2H,2450
JRE 228,2450
LGF 54,2450
PCE 540,2450
PDG 880,2450
RCL 479,2450
RJA 5K,2450
RJT 7X,2450
RKL 704,2450
RLK 64,2450
SCD 299,2450
CRJ 360,2350
HG 2960,2350
HG 9416,2350
PDG 825,2350
310 CTD,2250
D4 EMA,2250
743 FAY,2250
JRK 686,2250
MBE 870,2250
514 MTW,2250
66 RPY,2250
RWD 917,2250
30 SDY,2250
NAS 879,1995
TTE 61,1995
LNB 636,1950
PBN 422,1950
366 ADN,1895
740 DFW,1895
JRV 443,1895
1547 MD,1895
MMD 198,1895
STW 372,1895
727 STW,1895
7497 TR,1895
GDC 912,1850
GEB 398,1850
362 CRT,1795
KRD 311,1795
LSR 594,1795
REL 549,1795
876 SMY,1795
TWL 226,1795
818 DPE,1750
NWT 390,1750
OMR 120,1750
4336 RE,1750
SKH 587,1750
3270 TJ,1750
WAH 419,1750
484 DRY,1695
KPM 974,1695
348 MNM,1695
CH15 NEL,1695
WCH 235,1650
6790 BH,1595
979 CPY,1595
9828 FD,1595
GFG 889,1595
GPD 6D,1595
JNT 724,1595
434 LRR,1595
LRR 963,1595
PCK 335,1595
PPR 838,1595
20 RXW,1595
386 SRE,1595
JGL 219,1495
LGJ 558,1495
NCD 833,1495
PIB 62,1495
TVG 860,1495
818 AVD,1450
627 DRK,1450
334 GWD,1450
PSL 789,1450
90 PXH,1450
US 9226,1450
YNG 879,1450
BJN 509,1395
587 BSR,1395
GAZ 909,1395
PLE 516,1395
SBF 894,1395
235 WDH,1395
TBD 753,1350
BF 6766,1250
BF 6850,1250
BHA 962,1250
919 DBP,1250
FWG 862,1250
V50 JAX,1250
701 JPU,1250
440 LHN,1250
LUI 4444,1250
618 NBF,1250
105 SDV,1250
2441 TU,1250
129 DLV,1195
S30 DJM,1150
GFK 979,1150
L25 MEG,1150
G6 ROE,1150
G5 SAD,1150
WNR 119,1150
WPN 510,1150
